우선순위,순서,앱,구분,화면/Route,API,QA 체크,기대 결과,결과,판단,Severity,Issue ID,메모,QA_ID
P0,001,BE,자동검증,BE,Prisma; NestJS test/build,"pnpm typecheck, lint, test, build, prisma validate/generate/migration status 실행",수동 QA 전에 깨진 빌드와 DB schema 문제가 없어야 한다,PASS,KEEP,N/A,N/A,"2026-08-16 local/Supabase: typecheck, lint, test, build, prisma validate/generate 통과. 미적용 migration 6개 deploy 후 migrate status up to date.",AUTO-001
P0,002,User Web,자동검증,FE/user-web,Playwright mock; build,"pnpm typecheck, lint, build, test:e2e, mobile, browsers, analytics 실행",mock 기준 화면 흐름과 기본 route/API boundary가 통과해야 한다,FAIL,FIX,S3,QA-INFRA-USERWEB-001,"2026-08-16 local mock: typecheck, lint, build, test:e2e, browsers, analytics 통과. mobile는 10 passed 후 worker 종료 실패로 exit code 1. 2026-08-17 local 재실행(Node v24.10.0, pnpm 8.14.1): typecheck, lint, build, test:e2e 32 passed, test:e2e:browsers 5 passed, test:e2e:analytics 1 passed. test:e2e:mobile는 10 passed 후 worker-0/worker-1 process did not exit within 300000ms after stop로 exit code 1 재현. 제품 assertion은 통과했지만 자동검증 명령 종료 실패라 teardown 정리 필요.",AUTO-002
P0,003,Admin Web,자동검증,FE/admin-web,Playwright mock; build,"pnpm typecheck, lint, build, test:e2e 실행","admin 권한, 민감 원문, 운영 화면 smoke가 통과해야 한다",PASS,KEEP,N/A,N/A,"2026-08-16 local mock: typecheck, lint, build 통과. Admin smoke e2e 1개 통과.",AUTO-003
P0,005,User Web,Public,"https://onehandsales.vercel.app/{locale}, https://onehandsales.vercel.app/{locale}/login, https://onehandsales.vercel.app/{locale}/signup",/api/auth/providers; /api/auth/exchange; /api/auth/refresh; /api/me; /api/auth/logout,"provider 버튼, 로그인, refresh, 로그아웃 흐름 확인","로그인 후 /app 진입, 로그아웃 후 보호 route 차단, URL token 노출 없음",PASS,KEEP,N/A,N/A,"2026-08-17 production: 우선 QA locale ko/en-us/en-ca 기준 landing/login/signup 9개 URL 렌더링 정상. /ko/login, /en-us/login, /en-ca/login provider 버튼 노출 확인. 실제 로그인 후 /app 진입, 새로고침 후 세션 유지, 로그아웃, 로그아웃 후 /app 직접 접근 시 login 차단 확인. 로그인/로그아웃 과정에서 URL token 노출 없음.",USER-PUBLIC-002
P0,008,User Web,Auth,https://onehandsales.vercel.app/auth/callback,/api/auth/exchange; /api/me,정상 code/state와 잘못된 code/state callback 확인,"성공 시 app 진입, 실패 시 안전한 재로그인 동선과 query 정리",PASS,KEEP,N/A,N/A,"2026-08-17 production: 정상 OAuth callback 후 /app 진입 확인. 최종 URL에 code/state/access_token/refresh_token 노출 없음. 새로고침 후 /app 세션 유지 확인. invalid code/state callback과 query 없는 /auth/callback 직접 접근 시 /app 진입 없이 로그인창으로 이동 확인.",USER-AUTH-001
P0,009,User Web,공통,https://onehandsales.vercel.app/app/*,/api/me; /api/auth/refresh,"비로그인, 만료 token, 새로고침 접근 확인","비로그인은 login 이동, 만료 token은 refresh 후 재시도, 실패 시 안전하게 로그아웃",PASS,KEEP,N/A,N/A,"2026-08-17 production: 비로그인 상태에서 /app 및 주요 보호 route 직접 접근 시 모두 로그인 화면으로 이동 확인. 로그인 후 /app 새로고침과 주요 보호 route 직접 이동/새로고침에서 세션 유지 확인. 로그아웃 후 /app 직접 접근과 뒤로가기에서 보호 데이터 미노출 및 로그인 화면 이동 확인. 강제 만료 token은 수동 생성하지 않고 refresh 정상 경로와 로그아웃 실패 경로로 대체 확인.",USER-COMMON-001
P0,012,User Web,공통,https://onehandsales.vercel.app/app/* 전역 검색,"/api/search?q=...&limit=...; /api/search?q=...&types=COMPANY,CONTACT,PRODUCT,DEAL,SCHEDULE,MEETING_NOTE","회사/담당자/제품/딜/일정/회의록 검색, 2글자 미만, type filter, 결과 클릭 확인",검색 결과가 각 상세로 이동하고 삭제/타 사용자 데이터는 노출되지 않으며 일정 결과도 표시된다,,,,,,USER-COMMON-004
P0,016,User Web,회사,https://onehandsales.vercel.app/app/companies,/api/companies; /api/companies?filters...,"목록, 필터, 검색, pagination, 정렬 확인",query와 화면 상태가 일치하고 타 사용자 데이터가 보이지 않는다,,,,,,USER-COMPANY-001
P0,017,User Web,회사,"https://onehandsales.vercel.app/app/companies/new, https://onehandsales.vercel.app/app/companies/new/full, https://onehandsales.vercel.app/app/companies/:companyId",/api/companies; /api/companies/:companyId,"회사 생성, 상세 조회, 수정 확인",저장 후 목록과 상세가 최신 데이터로 갱신된다,,,,,,USER-COMPANY-002
P0,021,User Web,회사,https://onehandsales.vercel.app/app/companies; https://onehandsales.vercel.app/app/trash,/api/companies/:companyId; /api/trash; /api/trash/:targetType/:targetId/restore,회사 삭제와 Trash 복구 확인,"삭제 후 Trash 표시, 복구 후 회사 목록/검색/상세 재노출",,,,,,USER-COMPANY-006
